央视频道,#genre#
CCTV-1综合,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/cctv1hd265/51/20191230/index.m3u8?msisdn=2be6b2ec9fcf10d2c2457e2c710e172c&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260707120203&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=171.8.79.254&SecurityKey=20260707120203&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=bd88c22ad283887d1b6a82bf416365ae&sv=10004&ct=android
CCTV-1综合,http://8.138.7.223/tv/migu666.php?id=cctv1
CCTV-1综合,http://222.223.41.27:8888/hls/1/index.m3u8
CCTV-1综合,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV-1综合,http://27.129.145.110:4433/hls/1/index.m3u8
CCTV-1综合,http://vpn.famcloud.top:9878/rtp/239.3.1.129:8008
CCTV-2财经,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv2hd265/54/20200407/index.m3u8?msisdn=2be6b2ec9fcf10d2c2457e2c710e172c&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20260707120203&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=171.8.79.254&SecurityKey=20260707120203&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=a78722c612cd068f31b9d4abb83e8c00&sv=10004&ct=android
CCTV-2财经,http://b.xiongnas.top:8888/rtp/239.3.1.60:8084
CCTV-2财经,http://27.129.145.110:4433/hls/2/index.m3u8
CCTV-2财经,http://118.193.115.2:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-2财经,http://hnzznas.xgpuplay.eu.org:8818/rtp/225.1.2.78:10462
CCTV-2财经,http://nas.lyfkai.cn:19999/rtp/239.69.1.102:10250
CCTV-3综艺,http://8.138.7.223/tv/migu666.php?id=cctv3
CCTV-3综艺,http://b.xiongnas.top:8888/rtp/239.3.1.172:8001
CCTV-3综艺,http://vpn.famcloud.top:9878/rtp/239.3.1.172:8001
CCTV-3综艺,http://27.129.145.110:4433/hls/3/index.m3u8
CCTV-3综艺,http://123.163.114.168:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://server.juzhijian.com:8822/rtp/239.16.20.3:10030
CCTV-4国际,http://ls.qingting.fm/live/1649.m3u8
CCTV-4国际,http://ls.qingting.fm/live/1840.m3u8
CCTV-5体育,http://8.138.7.223/tv/migu666.php?id=cctv5
CCTV-5体育,http://222.223.41.27:8888/hls/5/index.m3u8
